e,fecha,hr,indicativo,np_001,np_010,np_100,np_300,nt_00,nt_30,nw_55,nw_91,p_max,p_mes,ta_max,ta_min,ti_max,tm_max,tm_mes,tm_min,ts_min,w_med,w_racha,w_rec,anio,n_cub,n_des,n_nub
165,2022-9,62,4589X,4,3,1,0,0,10,1,0,15.8(20),22.2,35.2(10),11.5(30),23.4,28.6,22.3,15.9,19.8,14,20/15.6(13),345,2022,3,11,16
,2022-10,,4589X,,,,,,,,,,,,,,,,,,,,,2022,10,7,14
137,2022-11,77,4589X,12,6,2,0,0,0,0,0,15.4(09),46.6,24.5(02),3.5(30),15.4,19.9,15.6,11.3,14.5,9,35/13.3(18),215,2022,6,6,18
139,2022-12,86,4589X,18,10,6,3,0,0,3,0,58.0(07),219.2,21.7(27),6.7(02),14.0,17.2,14.0,10.7,14.4,12,16/19.4(05),259,2022,11,3,17
,2022-13,,4589X,,,,,,,,,,,,,,,,,,,,,2022,74,124,164
99,2023-1,75,4589X,7,5,0,0,0,0,1,0,9.6(01),17.0,18.8(04),0.2(26),10.2,15.0,10.5,5.9,13.6,10,29/16.4(17),236,2023,4,14,13
88,2023-2,63,4589X,2,2,0,0,0,0,1,0,8.0(07),13.0,20.7(18),1.1(24),10.7,16.4,11.8,7.1,12.3,10,12/16.1(10),223,2023,8,12,8
111,2023-3,64,4589X,6,4,0,0,0,0,0,0,5.8(07),14.0,27.5(28),0.9(01),12.2,21.0,15.2,9.3,13.8,11,20/14.2(16),255,2023,8,6,17
100,2023-4,44,4589X,1,1,0,0,0,6,0,0,3.2(21),3.2,34.5(26),6.0(13),20.0,27.0,19.8,12.7,19.3,13,20/14.7(21),299,2023,3,20,7
127,2023-5,55,4589X,8,7,2,0,0,3,3,0,18.0(23),52.6,33.0(02),11.5(11),21.4,26.5,20.2,13.8,18.1,14,05/21.9(23),310,2023,6,9,16
164,2023-6,53,4589X,5,4,1,0,0,15,0,0,11.6(09),27.0,40.7(25),14.2(14),21.9,31.4,24.7,17.9,23.5,14,18/12.8(07),305,2023,4,11,15
145,2023-7,42,4589X,0,0,0,0,0,31,0,0,0.0(--),0.0,38.6(10),14.7(25),31.1,34.9,26.5,18.1,22.1,16,29/12.5(21),357,2023,1,25,5
145,2023-8,39,4589X,0,0,0,0,0,30,0,0,0.0(--),0.0,42.6(06),15.1(14),29.6,36.5,28.1,19.7,25.5,15,99/13.9(26),339,2023,2,20,9
168,2023-9,63,4589X,5,5,1,0,0,10,0,0,10.6(02),28.6,36.5(29),12.4(23),21.0,28.2,22.6,16.9,20.9,13,17/13.3(02),259,2023,4,6,20
163,2023-10,68,4589X,10,7,3,2,0,12,3,0,60.8(22),134.4,35.3(03),11.1(22),15.3,26.7,21.6,16.4,20.5,12,05/23.9(22),309,2023,11,8,12
136,2023-11,76,4589X,11,6,1,1,0,0,2,0,38.4(30),55.8,25.0(18),6.0(25),15.9,20.0,15.5,10.9,14.4,10,20/16.9(30),230,2023,2,13,15
112,2023-12,80,4589X,7,5,0,0,1,0,1,0,2.4(07),8.4,20.1(12),-0.1(27),10.6,15.9,11.8,7.7,12.7,7,22/18.3(01),167,2023,9,14,8
130,2023-13,60,4589X,62,46,8,3,1,107,11,0,60.8(22/oct),354.0,42.6(06/ago),-0.1(27/dic),10.2,25.0,19.0,13.0,25.5,12,05/23.9(22/oct),274,2023,62,158,145
124,2024-1,82,4589X,12,6,3,2,0,0,2,0,40.6(18),105.4,24.2(25),3.7(07),10.3,16.8,13.0,9.2,14.4,10,21/20.3(17),238,2024,10,8,13
122,2024-2,78,4589X,11,8,3,1,0,0,3,0,31.4(08),77.7,23.0(20),4.0(28),13.5,17.8,13.6,9.2,15.3,11,22/19.7(08),264,2024,9,8,12
121,2024-3,76,4589X,15,13,5,2,0,0,3,0,54.4(28),167.4,26.9(22),3.8(01),12.8,18.4,13.8,9.1,17.0,13,20/19.7(28),284,2024,10,2,19
127,2024-4,63,4589X,7,5,1,0,0,1,1,0,11.8(30),20.4,30.0(16),5.6(29),16.2,23.2,17.2,11.1,15.6,12,30/15.3(08),273,2024,4,8,16
121,2024-5,52,4589X,0,0,0,0,0,11,0,0,0.0(--),0.0,37.8(30),6.4(02),17.5,27.2,19.5,11.7,18.4,13,32/14.2(01),301,2024,4,15,12
152,2024-6,57,4589X,5,3,1,0,0,14,0,0,10.0(28),16.6,37.6(23),11.9(13),20.1,29.1,22.2,15.3,20.4,14,21/13.3(18),298,2024,6,12,12
158,2024-7,,4589X,,,,,,,,,,,,,,,,,,15,,,2024,0,26,5
180,2024-8,50,4589X,0,0,0,0,0,31,0,0,0.0(--),0.0,40.2(16),14.3(23),31.0,35.9,27.3,18.7,23.2,14,30/13.1(13),318,2024,1,24,5
157,2024-9,60,4589X,3,2,0,0,0,13,0,0,4.2(21),6.6,34.5(13),10.0(28),23.3,29.0,22.3,15.5,19.4,13,14/13.9(19),299,2024,2,12,16
170,2024-10,79,4589X,15,11,6,3,0,1,2,0,48.0(12),193.0,30.1(01),8.1(26),15.3,22.8,18.6,14.3,18.2,13,99/18.6(15),295,2024,9,3,19
147,2024-11,79,4589X,7,4,3,0,0,0,0,0,25.8(15),67.2,24.4(06),8.3(13),15.1,20.0,16.2,12.4,15.7,10,20/14.2(25),225,2024,5,6,19
100,2024-12,70,4589X,2,1,0,0,0,0,0,0,1.0(19),1.2,21.7(01),2.6(10),11.6,16.6,12.1,7.6,14.9,9,15/12.5(02),208,2024,5,17,9
140,2024-13,,4589X,,,,,,,,,,,,,,,,,,12,,,2024,65,141,157
